Item,HQ,Quantity,Avg,Min,Max,ID
Mythril Ingot,True,1,431.55939524838016,150,750,5065
Mythrite Nugget,False,20,1093.2249761677788,677,1520,12518
Mythrite Nugget,True,7,1235.1710144927536,695,1906,12518
Koppranickel Nugget,False,11,800.1506572295248,369,1333,19938
Lunar Adamantite Ingot,False,1,105.43335931410756,1,249,36173
Mythril Ingot,False,1,474.29701952723536,220,751,5065
Mythrite Ingot,False,24,2160.3384615384616,1490,2805,12519
Mythrite Ingot,True,1,2437.8739946380697,1555,3477,12519
Koppranickel Ingot,False,4,258.5034662045061,19,560,19940
Palladium Ingot,False,2,272.9353448275862,9,681,19948
Eikon Iron Ingot,False,6,556.7940896091516,6,1320,14149
Ogre Horn,False,8,34.277027027027025,1,1700,5439
Mossy Horn,False,29,15.88778054862843,1,87,5437
Prismatic Ingot,False,1,699.9317773788151,1,1850,27717
Steel Ingot,True,1,600.1012658227849,112,1245,5058
Muud Suud Horn,False,7,35.21081830790569,1,111,19919
Aldgoat Horn,False,5,468.21080026024725,187,801,5436
Antelope Horn,False,9,327.7269553072626,1,825,5435
Iron Ingot,True,3,135.73319327731093,35,250,5057
Wyvern Wing,False,3,359.28906823184155,59,725,12636
Ahriman Wing,False,12,590.266338721012,168,1001,5553
Natron,True,2,658.4775449101796,275,1111,5522
Alumen,False,5,234.44708146247595,48,450,5524
Faded Copy of Now I Know the Truth,False,6,5.912621359223301,1,27,14291
Faded Copy of Out of the Labyrinth,False,4,27.1937984496124,1,1100,14290
Dodore Wing,False,17,259.98815789473684,1,680,5313
Black Firesand,False,1,632.2146892655368,74,1250,12611
Black Alumen,False,3,235.74319840743198,54,449,5525
Faded Copy of The Dark's Embrace,False,11,39.773809523809526,1,999,14277
Faded Copy of Battle on the Big Bridge,False,5,47017.246511627905,1,10100001,15838
Faded Copy of Riptide,False,12,12.145077720207254,1,500,14275
Faded Copy of Imagination,False,6,9.253164556962025,1,500,14279
Faded Copy of Hunger,False,4,35.189655172413794,1,131,14293
Faded Copy of A Light in the Storm,False,11,5.159574468085107,1,25,14278
Faded Copy of Another Round,False,20,15.172185430463577,1,200,14268
Faded Copy of The Only Path,False,2,345.08496732026146,1,901,14271
Faded Copy of Blind to the Dark,False,2,26.293706293706293,1,1000,14292
Faded Copy of Dark Vows,False,16,4931.05737704918,1,1000000,14276
Faded Copy of Tumbling Down,False,5,4.908163265306122,1,25,14289
Faded Copy of Rise of the White Raven,False,1,85633.25139664805,66001,100500,14295
Faded Copy of Hubris,False,4,1.032520325203252,1,5,14288
Faded Copy of Down the Up Staircase,False,4,8.778571428571428,1,500,14280
Faded Copy of The Scars of Battle,False,2,1.7411764705882353,1,11,14281
Hardsilver Ore,False,9,343.2474452554745,149,550,12535
Darksteel Nugget,False,12,1604.831389183457,1150,2002,5061
Titanbronze Nugget,False,1,115.81843838193791,1,274,27712
Mythril Ore,False,7,250.4301937207749,155,340,5114
Mythril Plate,True,2,2329.517316017316,895,4123,5079
Titanium Ore,False,75,395.44536741214057,252,510,12537
Rose Gold Nugget,True,1,1289.4788732394366,600,2200,5068
Rose Gold Nugget,False,4,1119.9915560916768,611,1779,5068
Hardsilver Nugget,True,3,954.8361858190709,95,1900,12520
Blue Zircon,True,2,659.8024316109422,8,1608,36185
Azurite,False,3,1543.5009746588694,100,3700,19965
Opal,False,2,869.925702811245,10,1950,12546
Amethyst,False,2,10.39568345323741,1,30,5179
Ametrine,False,1,930.1924144310823,400,1598,36182
Goshenite,True,2,50.8041237113402,2,125,5176
Volcanic Rock Salt,False,27,330.1592857142857,138,550,6152
Abalathian Rock Salt,False,4,448.11893203883494,89,901,12901
Nymian Orb,False,1,4564.246486486487,474,9015,7039
Dark Matter Cluster,False,2,811.8653366583541,694,949,10335
Belah'dian Glass,False,3,56.1230448383733,1,201,7040
Crawler Cocoon,False,4,412.70840336134455,19,880,12600
Chocobo Feather,False,6,262.4333098094566,59,520,5359
Basilisk Egg,False,10,89.9744711889132,12,186,5263
Ochu Vine,False,5,111.83285577841451,1,333,5555
Vampire Cup Vine,False,12,382.13452566096424,184,630,27773
Diremite Web,False,1,366.7368421052632,232,505,5345
Ramie Thread,True,1,1204.551987767584,300,2100,12595
Dew Thread,True,9,431.63458110516933,150,750,5335
Twinthread,False,1,272.96877502001604,22,550,19988
Silk Thread,False,7,334.92497320471597,111,650,5338
Rainbow Cloth,True,1,1459.718152866242,525,2499,12588
Rainbow Cloth,False,1,1207.442857142857,692,1750,12588
Eikon Cloth,False,4,118.12552891396332,1,348,14152
Rainbow Thread,True,4,700.8477064220184,25,1502,12594
Crawler Silk,True,1,1634.5945945945946,1,3500,12596
Taffeta Cloth,False,2,40109.21184510251,33999,46000,7795
Arachne Velveteen,False,2,8365.204481792716,3199,14902,9362
Ramie Cloth,False,2,1683.2122969837587,468,3423,12590
Rainbow Thread,False,4,490.9283489096573,90,959,12594
Crawler Silk,False,1,727.8490338164252,200,1400,12596
Multifaceted Cotton Cloth,False,2,58.49152542372882,1,197,27762
Undyed Felt,False,3,1454.2508287292817,700,2300,5329
Cashmere Cloth,False,3,336.14716981132074,1,950,7609
Vanya Silk,False,4,945.4343534057256,74,1990,5330
Vanya Silk,True,4,1108.515,249,2169,5330
Ethereal Silk,True,2,201.1118881118881,68,344,27760
Wool Top,False,6,27.792270531400966,1,111,16906
Chimerical Felt,False,4,578.1358024691358,140,1044,12592
Sylphic Silk,False,1,1026.953125,441,1891,7028
Astral Silk,False,7,14.922480620155039,1,60,12593
